father батько
mother мама 
passion пристрасть
sunshine свiтло 
smile усмiшка 
love любов 
eternity вiчнiсть 
fantastic фантастичний 
destiny доля 
freedom свобода 
liberty свобода
peace свiт 
blossom розквiтати 
sweetheart кохана 
gorgeous чудовий 
cherish плекати 
enthusiasm ентузiазм 
hope надiя 
grace благодать 
rainbow веселка
blue синiй 
sunflower соняшник 
twinkle мерехтiння  
bliss блаженство 
lullaby колискова 
sophisticated витончений 
renaissance вiдродження 
cute милий 
cosy затишний
butterfly метелик 
galaxy галактика 
hilarious веселий
moment момент
extravaganza феєрiя
aqua вода
sentiment почуття 
cosmopolitan космополiт 
bubble мiхур 
pumpkin гарбуз
banana банан 
lollipop льодяник 
if якщо 
bumblebee джмiль 
giggle хихикати 
paradox парадокс 
delicacy делiкатес 
peekaboo хованки 
umbrella парасолька
kangaroo кенгуру
i я
and i
you ти
maybe можливо
coffe кава
milk молоко
he він
can могти
ride катати
my моя
car автомобіль
baby дитина
all усе
need потрібно
is є
save зберегти
life життя
make робити
do робити
like подобатися
mirror дзеркало
want хотіти
ice лід
cream крем
some трохи
cool крутий
water вода
memory память
establish встановлювати
color колір
clolour колір
white білий
monitor монітор
jam варення
opera опера
queen королева
zoom збільшувати
yellow жовтий
fight бій
xerox ксерокс
twice двічі
autumn осінь
winter зима
game гра
app додаток
clock годинник
map карта
virus вірус
setting налаштування
pen ручка
paper папір
date дата
day день
flashlight ліхтар
music музика
mail пошта
go іти
boy хлопець
girl дівчина
magic магія
word слово
play грати
